word,ambiguity_type,model,nbhd_mean_distance
thrust,P,word2vec_tiny_50_HOM,0.30327016
basket,P,word2vec_tiny_50_HOM,0.48643586
capable,P,word2vec_tiny_50_HOM,0.33040333
edible,P,word2vec_tiny_50_HOM,0.3257603
series,P,word2vec_tiny_50_HOM,0.3619891
backpack,P,word2vec_tiny_50_HOM,0.5114531
fear,P,word2vec_tiny_50_HOM,0.36971974
gift,P,word2vec_tiny_50_HOM,0.49504843
giant,P,word2vec_tiny_50_HOM,0.45811316
timer,P,word2vec_tiny_50_HOM,0.50066376
hobby,H,word2vec_tiny_50_HOM,0.40262803
scrape,P,word2vec_tiny_50_HOM,0.37879968
pussycat,M,word2vec_tiny_50_HOM,0.2955156
location,P,word2vec_tiny_50_HOM,0.3587499
wolf,P,word2vec_tiny_50_HOM,0.4128171
solar,P,word2vec_tiny_50_HOM,0.38597065
elevator,P,word2vec_tiny_50_HOM,0.4725982
evident,M,word2vec_tiny_50_HOM,0.20389865
exact,P,word2vec_tiny_50_HOM,0.4112183
debate,P,word2vec_tiny_50_HOM,0.26737148
pump,H,word2vec_tiny_50_HOM,0.49912396
healthy,P,word2vec_tiny_50_HOM,0.53329843
therapy,P,word2vec_tiny_50_HOM,0.357399
crafty,M,word2vec_tiny_50_HOM,0.34797937
wandering,P,word2vec_tiny_50_HOM,0.45518616
club,P,word2vec_tiny_50_HOM,0.47424492
racetrack,M,word2vec_tiny_50_HOM,0.29162824
orb,P,word2vec_tiny_50_HOM,0.3476091
girlfriend,P,word2vec_tiny_50_HOM,0.29461047
dispenser,M,word2vec_tiny_50_HOM,0.29692593
conscience,P,word2vec_tiny_50_HOM,0.2781801
connect,P,word2vec_tiny_50_HOM,0.41416085
truck,H,word2vec_tiny_50_HOM,0.42061394
banana,P,word2vec_tiny_50_HOM,0.40784013
weep,P,word2vec_tiny_50_HOM,0.5140909
goal,P,word2vec_tiny_50_HOM,0.47972828
purpose,P,word2vec_tiny_50_HOM,0.5166882
nation,P,word2vec_tiny_50_HOM,0.4766609
slingshot,M,word2vec_tiny_50_HOM,0.42622963
proper,P,word2vec_tiny_50_HOM,0.426339
calculate,P,word2vec_tiny_50_HOM,0.26791817
salmon,P,word2vec_tiny_50_HOM,0.3663624
overhead,P,word2vec_tiny_50_HOM,0.3955713
mighty,P,word2vec_tiny_50_HOM,0.45027816
galaxy,P,word2vec_tiny_50_HOM,0.39543122
mirror,P,word2vec_tiny_50_HOM,0.48920214
crowd,P,word2vec_tiny_50_HOM,0.43663123
bullet,P,word2vec_tiny_50_HOM,0.38938493
fishy,P,word2vec_tiny_50_HOM,0.32201838
strike,P,word2vec_tiny_50_HOM,0.49804378
havoc,P,word2vec_tiny_50_HOM,0.3037765
prosperous,P,word2vec_tiny_50_HOM,0.2708904
puck,M,word2vec_tiny_50_HOM,0.455148
stairway,M,word2vec_tiny_50_HOM,0.3394152
indulge,P,word2vec_tiny_50_HOM,0.19670022
lure,P,word2vec_tiny_50_HOM,0.41883293
jet,H,word2vec_tiny_50_HOM,0.43257907
efficient,P,word2vec_tiny_50_HOM,0.34506005
surround,P,word2vec_tiny_50_HOM,0.34483308
impolite,M,word2vec_tiny_50_HOM,0.2012949
rocker,P,word2vec_tiny_50_HOM,0.40632647
topic,P,word2vec_tiny_50_HOM,0.39383304
sunshine,P,word2vec_tiny_50_HOM,0.42437145
subtle,P,word2vec_tiny_50_HOM,0.30095217
warmed,P,word2vec_tiny_50_HOM,0.46255833
hatred,M,word2vec_tiny_50_HOM,0.2164442
antenna,P,word2vec_tiny_50_HOM,0.39221093
talent,P,word2vec_tiny_50_HOM,0.41205704
tooth,P,word2vec_tiny_50_HOM,0.50421506
modesty,P,word2vec_tiny_50_HOM,0.24590398
