word,cv_dist_subtl_all_100,cv_dist_subtl_all_200,cv_dist_subtl_nearest_100,cv_dist_subtl_nearest_200,cv_dist_wiki_all_100,cv_dist_wiki_all_200,cv_dist_wiki_nearest_100,cv_dist_wiki_nearest_200,cv_pairdist_subtl_all_100,cv_pairdist_subtl_all_200,cv_pairdist_subtl_nearest_100,cv_pairdist_subtl_nearest_200,cv_pairdist_wiki_all_100,cv_pairdist_wiki_all_200,cv_pairdist_wiki_nearest_100,cv_pairdist_wiki_nearest_200,gv_dist,gv_pairdist,nbhd_dist_100,nbhd_dist_20,nbhd_dist_200,nbhd_pairdist_100,nbhd_pairdist_20,nbhd_pairdist_200
pep,0.7223979706773387,0.7223979706773387,0.6209322539622866,0.7223979706773387,0.6479218822992009,0.6479218822992009,0.5397520139437287,0.5629298488254453,0.6868377054625,0.6868377054625,0.49698643377949137,0.6868377054625,0.42741584596632093,0.42741584596632093,0.3458112821752999,0.36833369768484825,0.6046845324280375,0.12794723387401263,0.550103540079359,0.47429198541451045,0.5746284246729875,0.6500852607698598,0.5591992490024338,0.6635339995608669
rescue,0.814617596887143,0.814617596887143,0.622918708451514,0.661158365774219,0.6855154714205708,0.6855154714205708,0.5528444413399181,0.5817664788739159,0.7320143023270447,0.7320143023270447,0.5736327497846884,0.602311231103595,0.44316875900078745,0.44316875900078745,0.3748596133297831,0.3923696631539947,0.7271186410215411,0.1978530182278153,0.5361002013074543,0.41860128492873994,0.5759317762957464,0.6881303995068382,0.5573725794957319,0.7297383048936946
shame,0.6956497951621539,0.6956497951621539,0.4609405332827759,0.49459194578052207,0.5753435198182084,0.5753435198182084,0.4434243460137852,0.47199295218751564,0.7363491042163287,0.7363491042163287,0.3812694531250731,0.39587019608930096,0.40394881229912083,0.40394881229912083,0.32828778195693786,0.33704550750787693,0.45258255391311203,0.43539913877281206,0.43626749426594075,0.3468517530422184,0.46982421008504277,0.5608187364954085,0.4611374463255764,0.591968670369286
blueberry,0.6006486792674446,0.6006486792674446,0.497854064844703,0.6006486792674445,0.5172637573719592,0.5172637573719592,0.2793485301002384,0.33182052419102015,0.6435007874322262,0.6435007874322262,0.45681245715880997,0.6435007874322262,0.40999800686862475,0.40999800686862475,0.20447104215741096,0.26928872328070236,0.42268892193095126,0.1325173448896823,0.326923416853414,0.24070954989313967,0.3613475642931756,0.3623560239880807,0.25039370245185527,0.4008088194344919
trait,0.6848754108167135,0.6848754108167135,0.6848754108167135,0.6848754108167135,0.54740251677373,0.54740251677373,0.4141714393305345,0.44052187532506937,0.7055584553504449,0.7055584553504449,0.7055584553504449,0.7055584553504449,0.39608901765760623,0.39608901765760623,0.3098493256515915,0.3280865698137416,0.3418397094856622,0.0,0.43689628023618754,0.3576294009445536,0.46647506749109413,0.5276869848269267,0.4101919374724048,0.5684887808196427
stylish,0.6775962940355,0.6775962940355,0.6550280346179851,0.6775962940354999,0.5905119653609292,0.5905119653609292,0.45111654892910624,0.4778606864945681,0.6290739535468567,0.6290739535468567,0.5760267694157961,0.6290739535468567,0.4202539226495677,0.4202539226495677,0.3429467513457128,0.35481229508242096,0.4624501517123857,0.0,0.3757528648806106,0.28504089354636925,0.4092513311360413,0.4923202893617965,0.37664554963875224,0.5241178781285782
lifeboat,0.8145280165208871,0.8145280165208871,0.8145280165208874,0.8145280165208874,0.6375771523369199,0.6375771523369199,0.4769031834866943,0.5070379449619657,0.7399353889960513,0.7399353889960513,0.7399353889960513,0.7399353889960513,0.4225788595229089,0.4225788595229089,0.29852354151668176,0.32906071381004104,0.48784957405559803,0.0,0.4559946255171863,0.363441562288778,0.4904767141499192,0.5259632714534891,0.43070102299048074,0.5663875277614788
intrude,0.751708373802527,0.751708373802527,0.69587164943581,0.751708373802527,0.6702586174912498,0.6702586174912498,0.5844393213926583,0.6064101317875429,0.6645718927866466,0.6645718927866466,0.5105024759969757,0.6645718927866466,0.44195870159822137,0.44195870159822137,0.3646222633485051,0.37774985177615406,0.6275758887740001,0.12463395016661372,0.537411959934904,0.40479095870092063,0.5710023644385623,0.6649172453215786,0.5299769252750137,0.686732059434359
audit,0.811761518640984,0.811761518640984,0.8117615186409841,0.8117615186409841,0.6233652573631104,0.6233652573631104,0.4883957913103679,0.5128540299364043,0.7508560361757793,0.7508560361757793,0.7508560361757792,0.7508560361757792,0.4276731237793857,0.4276731237793857,0.3513629697207523,0.3647727879910588,0.5635128316212618,0.2666276538680813,0.48523788019353326,0.35635710378109947,0.5287764045972633,0.6573517294568079,0.487240816813039,0.6943837058130248
bluff,0.8011902789374944,0.8011902789374944,0.6986730247946349,0.7364217777341904,0.6416908598921822,0.6416908598921822,0.5231688228581534,0.5424450306182063,0.72666889839038,0.72666889839038,0.5030668776140856,0.5731315399243733,0.43372279737194114,0.43372279737194114,0.2987605645461938,0.31563483831980305,0.6353525695427034,0.4506136095299112,0.5363268566373399,0.4457666944613868,0.5684897830973249,0.528686628463642,0.39195681017804646,0.5954636192853013
daft,0.698337197717595,0.698337197717595,0.698337197717595,0.698337197717595,0.6154129393708908,0.6154129393708908,0.5409843419650167,0.5738254831327391,0.6408898985008059,0.6408898985008059,0.6408898985008059,0.6408898985008059,0.3766168520957854,0.3766168520957854,0.3117218161491105,0.3414960681174708,0.39512742643801113,0.15392301497367933,0.4497471511728758,0.3873275389234606,0.4731781602691176,0.4444189326499272,0.37217603357098616,0.4851165386835306
chandelier,0.7543797274397123,0.7543797274397123,0.7543797274397122,0.7543797274397122,0.5544526256383242,0.5544526256383242,0.35719222681965257,0.39577176622821575,0.6889951944838729,0.6889951944838729,0.6889951944838729,0.6889951944838729,0.4026004233096197,0.4026004233096197,0.23895414310696828,0.2816744541929186,0.4598821924978258,0.0,0.3949122482256241,0.31367703239055056,0.42317618822854414,0.47466387945180816,0.38478868156569923,0.5150593242363646
indictment,0.7589101090587026,0.7589101090587026,0.7045453300073709,0.7589101090587025,0.5825614624121386,0.5825614624121386,0.39339813070687185,0.4279033658754811,0.7287285939213193,0.7287285939213193,0.6232638657197814,0.7287285939213192,0.4162070708683803,0.4162070708683803,0.27532093811777747,0.3076276678355713,0.47869450968388705,0.24809483125843684,0.45144352531135745,0.342081378139929,0.4950188179118766,0.5681774727036083,0.4642960396900618,0.6307155293210307
mention,0.756252406002175,0.756252406002175,0.5992600597929034,0.6249341684668575,0.6195365646350848,0.6195365646350848,0.5091893201832022,0.5310416813105288,0.6982481512888095,0.6982481512888095,0.4189629202050573,0.4778613112254623,0.4301170837063295,0.4301170837063295,0.3368975855859513,0.35465927813252035,0.5959491378512803,0.2603531749735845,0.5495452100629681,0.44634952051712523,0.5803009051906355,0.6425202903924278,0.5109949366000851,0.6773782352818033
definition,0.7674031779803672,0.7674031779803672,0.6432240182338193,0.7009094437067529,0.5967070659311813,0.5967070659311813,0.4692026793407748,0.4925465464212229,0.7199184609133628,0.7199184609133628,0.5414062688333741,0.587762178630869,0.43225583425799524,0.43225583425799524,0.31881244728223634,0.3391885317624439,0.520361784342143,0.18639576694653281,0.48611557135359057,0.3967732225750308,0.5150500101038972,0.5673870710467268,0.4850248459960897,0.587332425534896
relevant,0.7612125973475864,0.7612125973475864,0.6232544525537405,0.6908704881210079,0.568522449563048,0.568522449563048,0.4559443383071077,0.47767853840463464,0.7538781499087338,0.7538781499087338,0.5478811681269402,0.6192461627943298,0.40734774237606836,0.40734774237606836,0.32215175437484533,0.34128985349736835,0.38592301089504455,0.17834797345442127,0.5054612408315247,0.41335869587593627,0.5348206219654951,0.629510905371569,0.5102382900656733,0.6714572310856174
civil,0.7600742742973423,0.7600742742973423,0.5639437626835738,0.5958929198906966,0.6794213720372393,0.6794213720372393,0.5745756718851776,0.5965044068967988,0.7276893916154671,0.7276893916154671,0.5746900059244608,0.5773236324123382,0.47165351793506977,0.47165351793506977,0.40801848651871325,0.4251922167304311,0.7299048690003311,0.2360252344352622,0.6182307271826344,0.520046502578835,0.6486085779676207,0.7582453090556759,0.6614764767327682,0.779240076323676
governess,0.8106697376825237,0.8106697376825237,0.8106697376825237,0.8106697376825237,0.5938322792290289,0.5938322792290289,0.4581705802131063,0.48501401755446094,0.7948653843968254,0.7948653843968254,0.7948653843968255,0.7948653843968255,0.38802090564211267,0.38802090564211267,0.2786844797570175,0.2996043078397287,0.5532488969552963,0.0,0.4363419074556554,0.35160205703705605,0.47072569849368817,0.5321605141255543,0.44797478584040634,0.5743185432146021
