word,ambiguity_type,model,nbhd_mean_distance
cradle,P,word2vec_recipe_10_HOM,0.3294641
peppermint,P,word2vec_recipe_10_HOM,0.35564065
solid,P,word2vec_recipe_10_HOM,0.43138862
clot,P,word2vec_recipe_10_HOM,0.20771837
tackle,P,word2vec_recipe_10_HOM,0.18690892
mural,P,word2vec_recipe_10_HOM,0.27799895
bakery,M,word2vec_recipe_10_HOM,0.30764282
dramatic,P,word2vec_recipe_10_HOM,0.31094062
grasp,P,word2vec_recipe_10_HOM,0.3838099
frog,H,word2vec_recipe_10_HOM,0.44619653
dig,P,word2vec_recipe_10_HOM,0.4272376
destiny,P,word2vec_recipe_10_HOM,0.36686993
module,P,word2vec_recipe_10_HOM,0.3787462
conviction,P,word2vec_recipe_10_HOM,0.19735901
tune,P,word2vec_recipe_10_HOM,0.3205994
vision,P,word2vec_recipe_10_HOM,0.14504132
shave,P,word2vec_recipe_10_HOM,0.44748893
scan,P,word2vec_recipe_10_HOM,0.18459147
steam,P,word2vec_recipe_10_HOM,0.48537648
reopen,P,word2vec_recipe_10_HOM,0.38088375
keen,H,word2vec_recipe_10_HOM,0.32074755
latter,P,word2vec_recipe_10_HOM,0.2866184
partner,P,word2vec_recipe_10_HOM,0.24837755
cast,P,word2vec_recipe_10_HOM,0.4152252
brilliance,P,word2vec_recipe_10_HOM,0.14859669
similar,M,word2vec_recipe_10_HOM,0.44921258
pint,P,word2vec_recipe_10_HOM,0.36596072
countless,M,word2vec_recipe_10_HOM,0.17686994
scramble,P,word2vec_recipe_10_HOM,0.461716
antique,P,word2vec_recipe_10_HOM,0.24053387
global,P,word2vec_recipe_10_HOM,0.12847409
shameless,P,word2vec_recipe_10_HOM,0.19816625
skip,P,word2vec_recipe_10_HOM,0.37462807
generation,P,word2vec_recipe_10_HOM,0.25154716
treat,P,word2vec_recipe_10_HOM,0.33794364
gobble,H,word2vec_recipe_10_HOM,0.3379227
mainstream,P,word2vec_recipe_10_HOM,0.12841634
sane,P,word2vec_recipe_10_HOM,0.14718226
rug,P,word2vec_recipe_10_HOM,0.2665642
paint,P,word2vec_recipe_10_HOM,0.39223158
passionate,P,word2vec_recipe_10_HOM,0.21487755
push,P,word2vec_recipe_10_HOM,0.42870182
liar,M,word2vec_recipe_10_HOM,0.1840761
deadly,P,word2vec_recipe_10_HOM,0.23919481
thorough,P,word2vec_recipe_10_HOM,0.4592405
fetish,P,word2vec_recipe_10_HOM,0.18787454
level,P,word2vec_recipe_10_HOM,0.5108657
offer,P,word2vec_recipe_10_HOM,0.40643287
jerk,H,word2vec_recipe_10_HOM,0.33503327
accurate,P,word2vec_recipe_10_HOM,0.31827933
train,P,word2vec_recipe_10_HOM,0.27283746
velocity,P,word2vec_recipe_10_HOM,0.24615085
bulletin,P,word2vec_recipe_10_HOM,0.21270531
nibble,P,word2vec_recipe_10_HOM,0.35420662
bacon,M,word2vec_recipe_10_HOM,0.3967821
cope,H,word2vec_recipe_10_HOM,0.18212396
ballet,P,word2vec_recipe_10_HOM,0.19440295
soak,P,word2vec_recipe_10_HOM,0.48074737
crave,P,word2vec_recipe_10_HOM,0.20360006
revolution,P,word2vec_recipe_10_HOM,0.26117128
steady,P,word2vec_recipe_10_HOM,0.4688129
perfume,P,word2vec_recipe_10_HOM,0.3421219
subsequent,M,word2vec_recipe_10_HOM,0.38088357
subjective,P,word2vec_recipe_10_HOM,0.20195538
patient,P,word2vec_recipe_10_HOM,0.3149018
barefoot,M,word2vec_recipe_10_HOM,0.2800439
stale,P,word2vec_recipe_10_HOM,0.4482595
