word,ambiguity_type,model,nbhd_mean_distance
harvest,P,word2vec_tiny_40_HYP,0.40300986
powder,P,word2vec_tiny_40_HYP,0.46056572
sensation,P,word2vec_tiny_40_HYP,0.3905748
gloom,P,word2vec_tiny_40_HYP,0.29923788
climax,P,word2vec_tiny_40_HYP,0.22839671
selfless,M,word2vec_tiny_40_HYP,0.24629982
brandy,P,word2vec_tiny_40_HYP,0.25179857
simmer,P,word2vec_tiny_40_HYP,0.20849356
ashamed,P,word2vec_tiny_40_HYP,0.48914546
stinky,M,word2vec_tiny_40_HYP,0.44316497
grunt,P,word2vec_tiny_40_HYP,0.33801764
flush,H,word2vec_tiny_40_HYP,0.42867753
pulp,P,word2vec_tiny_40_HYP,0.323944
slumber,P,word2vec_tiny_40_HYP,0.31335267
empathy,P,word2vec_tiny_40_HYP,0.20348263
pedestal,P,word2vec_tiny_40_HYP,0.26394302
stylish,M,word2vec_tiny_40_HYP,0.4166341
pity,P,word2vec_tiny_40_HYP,0.37386543
defend,P,word2vec_tiny_40_HYP,0.3876226
skilled,P,word2vec_tiny_40_HYP,0.37517658
fulfill,P,word2vec_tiny_40_HYP,0.3299253
skid,P,word2vec_tiny_40_HYP,0.3213535
navigate,P,word2vec_tiny_40_HYP,0.3598708
crocodile,P,word2vec_tiny_40_HYP,0.3724834
tenth,P,word2vec_tiny_40_HYP,0.4622656
ingredient,P,word2vec_tiny_40_HYP,0.41532487
gull,H,word2vec_tiny_40_HYP,0.23617661
toot,P,word2vec_tiny_40_HYP,0.41420612
draw,P,word2vec_tiny_40_HYP,0.40856647
drill,H,word2vec_tiny_40_HYP,0.37538338
elegance,P,word2vec_tiny_40_HYP,0.2877276
mischief,P,word2vec_tiny_40_HYP,0.46191132
mirage,P,word2vec_tiny_40_HYP,0.43431258
rule,P,word2vec_tiny_40_HYP,0.50498694
monstrous,P,word2vec_tiny_40_HYP,0.27310145
mellow,P,word2vec_tiny_40_HYP,0.3324348
watering,P,word2vec_tiny_40_HYP,0.4572142
musician,P,word2vec_tiny_40_HYP,0.44786972
ignorance,M,word2vec_tiny_40_HYP,0.28864735
scratch,P,word2vec_tiny_40_HYP,0.4499662
slow,P,word2vec_tiny_40_HYP,0.50368005
beach,P,word2vec_tiny_40_HYP,0.4473934
pesky,M,word2vec_tiny_40_HYP,0.3628133
lemon,P,word2vec_tiny_40_HYP,0.4214788
backward,P,word2vec_tiny_40_HYP,0.51376766
groundhog,M,word2vec_tiny_40_HYP,0.28478175
brow,P,word2vec_tiny_40_HYP,0.3068664
flag,H,word2vec_tiny_40_HYP,0.46916637
studio,P,word2vec_tiny_40_HYP,0.43523705
wet,P,word2vec_tiny_40_HYP,0.47290698
keyboard,P,word2vec_tiny_40_HYP,0.40886983
surface,P,word2vec_tiny_40_HYP,0.41657117
arrive,P,word2vec_tiny_40_HYP,0.5125003
strut,H,word2vec_tiny_40_HYP,0.34469214
tactic,M,word2vec_tiny_40_HYP,0.33169854
skinny,P,word2vec_tiny_40_HYP,0.4790912
